Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
297730, 416, 0, 3.865782, 3.357376, 3.357087, 3.357087, 86.85, 99.99, 100.00
298595, 38, 0, 0.340554, 0.291320, 0.291281, 0.291281, 85.54, 99.99, 100.00
298609, 267, 0, 2.210287, 1.945931, 1.945918, 1.945918, 88.04, 100.00, 100.00
298633, 640, 0, 6.294694, 5.898674, 5.898674, 5.898674, 93.71, 100.00, 100.00
298687, 452, 0, 21.454290, 20.561649, 20.560749, 20.560749, 95.84, 100.00, 100.00
298690, 25, 0, 1.473570, 1.397020, 1.397020, 1.397020, 94.81, 100.00, 100.00
298771, 153, 0, 8.499230, 8.001180, 8.000890, 8.000890, 94.14, 100.00, 100.00
298773, 150, 0, 8.782230, 7.757190, 7.757040, 7.757040, 88.33, 100.00, 100.00
298862, 474, 0, 25.326646, 23.625335, 23.625135, 23.625135, 93.28, 100.00, 100.00
298967, 560, 0, 55.433900, 53.390200, 53.387100, 53.387100, 96.31, 99.99, 100.00
299055, 465, 6, 45.476512, 44.342463, 44.341563, 43.826163, 97.51, 100.00, 101.18
299144, 362, 0, 30.521200, 29.741500, 29.741000, 29.741000, 97.45, 100.00, 100.00
299147, 248, 0, 23.880659, 23.198754, 23.198154, 23.198154, 97.14, 100.00, 100.00
299184, 696, 0, 94.568754, 91.231877, 91.226617, 91.226617, 96.47, 99.99, 100.00
299243, 55, 0, 6.058300, 5.875490, 5.875490, 5.875490, 96.98, 100.00, 100.00
299584, 1973, 0, 227.237396, 220.754009, 220.742409, 220.742409, 97.15, 99.99, 100.00
300279, 58, 0, 5.895611, 5.225814, 5.225264, 5.225264, 88.64, 99.99, 100.00
300345, 25, 4, 5.330255, 4.806073, 4.805673, 4.010351, 90.17, 99.99, 119.83
300415, 395, 52, 93.583942, 88.535152, 88.525791, 79.901262, 94.61, 99.99, 110.79
300418, 0, 27, 6.387901, 5.496335, 5.496335, 0.000000, 86.04, 100.00, 
300487, 307, 187, 124.270535, 119.644052, 119.630381, 72.241050, 96.28, 99.99, 165.60
300540, 257, 439, 183.876636, 174.786099, 174.751741, 60.168270, 95.06, 99.98, 290.44
300571, 84, 398, 151.467485, 140.767717, 140.645943, 21.870987, 92.94, 99.91, 643.07
300600, 0, 158, 56.106400, 48.356140, 48.064920, 0.000000, 86.19, 99.40, 
300655, 0, 671, 238.948510, 228.058300, 228.040140, 0.000000, 95.44, 99.99, 
300687, 96, 973, 338.714486, 321.766868, 321.726231, 24.443890, 95.00, 99.99, 1316.18
300784, 0, 22, 7.635162, 7.123285, 7.123225, 0.000000, 93.30, 100.00, 
300800, 0, 801, 289.670616, 273.220152, 273.204864, 0.000000, 94.32, 99.99, 
300863, 219, 824, 344.383311, 325.496447, 325.486788, 56.612000, 94.52, 100.00, 574.94
300908, 0, 646, 228.246660, 211.974980, 211.961830, 0.000000, 92.87, 99.99, 
301912, 49, 0, 6.685500, 6.245710, 6.245620, 6.245620, 93.42, 100.00, 100.00
301918, 165, 0, 19.916700, 19.338800, 19.338700, 19.338700, 97.10, 100.00, 100.00
301932, 292, 866, 370.773857, 352.168996, 352.133151, 71.599055, 94.98, 99.99, 491.81
301973, 775, 865, 482.356400, 461.979046, 461.839271, 179.600071, 95.78, 99.97, 257.15
302053, 55, 1045, 398.814902, 376.622709, 376.368970, 12.994840, 94.44, 99.93, 2896.30
302137, 0, 529, 206.129650, 196.719220, 196.711180, 0.000000, 95.43, 100.00, 
302265, 0, 273, 109.652381, 101.622707, 101.618607, 0.000000, 92.68, 100.00, 
302269, 0, 175, 58.598820, 56.258260, 56.257300, 0.000000, 96.01, 100.00, 
302300, 835, 635, 402.589255, 385.534147, 385.524447, 188.540076, 95.76, 100.00, 204.48
302347, 0, 534, 206.433797, 194.710892, 194.704642, 0.000000, 94.32, 100.00, 
302380, 0, 250, 110.124030, 104.365560, 104.314980, 0.000000, 94.77, 99.95, 
302391, 0, 303, 132.429490, 126.296730, 126.254960, 0.000000, 95.37, 99.97, 
302393, 827, 918, 525.952342, 503.063139, 502.908095, 191.501990, 95.65, 99.97, 262.61
302737, 0, 190, 83.745898, 79.364806, 79.315838, 0.000000, 94.77, 99.94, 
302831, 70, 0, 15.987760, 15.802190, 15.796940, 15.796940, 98.84, 99.97, 100.00
302872, 1139, 1144, 673.806977, 641.423821, 641.145193, 240.051500, 95.19, 99.96, 267.09
302919, 0, 154, 66.845820, 61.493740, 61.486930, 0.000000, 91.99, 99.99, 
302925, 0, 355, 133.195001, 127.524734, 127.474365, 0.000000, 95.74, 99.96, 
302956, 0, 920, 353.816397, 334.027010, 333.694310, 0.000000, 94.41, 99.90, 
303007, 0, 34, 17.514570, 15.620990, 15.609210, 0.000000, 89.19, 99.92, 
303079, 0, 231, 112.173378, 101.083889, 101.040125, 0.000000, 90.11, 99.96, 
303201, 0, 215, 112.568750, 91.513080, 91.454860, 0.000000, 81.30, 99.94, 
303208, 300, 1235, 559.933643, 531.567155, 531.114576, 75.837371, 94.93, 99.91, 700.33
303264, 0, 79, 37.232100, 30.137810, 30.086470, 0.000000, 80.95, 99.83, 
303266, 0, 707, 289.079127, 269.217829, 269.121857, 0.000000, 93.13, 99.96, 
303291, 0, 401, 178.331010, 168.805830, 168.660660, 0.000000, 94.66, 99.91, 
303304, 373, 1036, 501.130460, 476.217934, 475.796043, 95.720800, 95.03, 99.91, 497.07
303338, 430, 1127, 543.727553, 515.978206, 515.380458, 107.389970, 94.90, 99.88, 479.91
303421, 143, 1231, 512.430139, 481.932045, 481.088894, 36.557200, 94.05, 99.83, 1315.99
303499, 378, 939, 441.977760, 421.373060, 421.167270, 95.357960, 95.34, 99.95, 441.67
303560, 0, 831, 342.635970, 324.770033, 324.621623, 0.000000, 94.79, 99.95, 
303638, 336, 1013, 478.889770, 462.527590, 462.309130, 85.608400, 96.58, 99.95, 540.03
303832, 0, 400, 96.714482, 94.282688, 94.258388, 0.000000, 97.49, 99.97, 
303846, 0, 1536, 515.726656, 490.809191, 490.650889, 0.000000, 95.17, 99.97, 
303892, 0, 1400, 478.607737, 460.200831, 459.882658, 0.000000, 96.15, 99.93, 
303943, 0, 1354, 494.461295, 469.273923, 468.982617, 0.000000, 94.91, 99.94, 
304006, 0, 329, 162.705766, 153.146101, 148.161224, 0.000000, 94.12, 96.75, 
304008, 0, 1288, 494.601304, 473.656406, 473.284917, 0.000000, 95.77, 99.92, 
304128, 0, 1644, 582.437537, 553.585766, 552.976587, 0.000000, 95.05, 99.89, 
304178, 0, 1154, 452.023295, 427.163407, 426.668388, 0.000000, 94.50, 99.88, 
304198, 0, 368, 172.373577, 158.673390, 158.452130, 0.000000, 92.05, 99.86, 
304211, 0, 278, 135.576240, 125.787290, 125.655910, 0.000000, 92.78, 99.90, 
304243, 0, 1024, 376.025597, 358.909985, 358.762375, 0.000000, 95.45, 99.96, 
304308, 0, 53, 29.101900, 28.211400, 28.195200, 0.000000, 96.94, 99.94, 
304337, 0, 1038, 440.030050, 411.972924, 411.779794, 0.000000, 93.62, 99.95, 
304409, 0, 193, 104.647020, 95.863540, 95.800410, 0.000000, 91.61, 99.93, 
304431, 0, 279, 151.121600, 143.731600, 143.658600, 0.000000, 95.11, 99.95, 
304494, 0, 106, 59.313300, 56.694400, 56.644600, 0.000000, 95.58, 99.91, 
305380, 0, 668, 330.374028, 315.873463, 315.676483, 0.000000, 95.61, 99.94, 
305543, 0, 629, 194.857130, 187.237560, 187.194750, 0.000000, 96.09, 99.98, 
305571, 0, 39, 19.673128, 18.248824, 18.241057, 0.000000, 92.76, 99.96, 
305618, 0, 787, 318.843760, 308.371980, 307.293850, 0.000000, 96.72, 99.65, 
305671, 0, 50, 27.021200, 25.801300, 25.797400, 0.000000, 95.49, 99.98, 
305674, 0, 37, 19.586300, 18.555400, 18.551400, 0.000000, 94.74, 99.98, 
305723, 0, 703, 302.208728, 278.009637, 277.600796, 0.000000, 91.99, 99.85, 
305727, 0, 243, 71.128300, 68.528662, 68.516987, 0.000000, 96.35, 99.98, 
305735, 0, 268, 130.828300, 124.447100, 124.399400, 0.000000, 95.12, 99.96, 
305777, 0, 808, 333.067940, 319.789508, 319.647168, 0.000000, 96.01, 99.96, 
305811, 0, 622, 282.564350, 272.762720, 272.643940, 0.000000, 96.53, 99.96, 
305920, 0, 573, 266.937730, 258.277090, 258.153540, 0.000000, 96.76, 99.95, 
306269, 0, 320, 164.408600, 158.242200, 158.128300, 0.000000, 96.25, 99.93, 
306278, 0, 1001, 404.830950, 390.475769, 390.365951, 0.000000, 96.45, 99.97, 
306310, 0, 1088, 401.951200, 391.104800, 390.947300, 0.000000, 97.30, 99.96, 
306384, 0, 539, 203.948590, 197.404260, 197.270430, 0.000000, 96.79, 99.93, 
306419, 0, 162, 93.262409, 90.582018, 90.495755, 0.000000, 97.13, 99.90, 
306442, 0, 52, 32.150619, 30.758299, 30.728672, 0.000000, 95.67, 99.90, 
306448, 0, 212, 111.070750, 104.625230, 104.545620, 0.000000, 94.20, 99.92, 
306451, 0, 762, 342.131000, 330.362320, 330.155610, 0.000000, 96.56, 99.94, 
307126, 0, 186, 28.399700, 27.210400, 27.210000, 0.000000, 95.81, 100.00, 
307195, 0, 464, 227.016000, 217.689000, 217.506000, 0.000000, 95.89, 99.92, 
307259, 0, 765, 321.392000, 309.473000, 309.368000, 0.000000, 96.29, 99.97, 
307306, 0, 386, 197.321000, 189.220000, 189.147000, 0.000000, 95.89, 99.96, 
307354, 0, 154, 87.416900, 83.236100, 83.230900, 0.000000, 95.22, 99.99, 
307358, 0, 910, 398.586300, 386.816600, 386.766500, 0.000000, 97.05, 99.99, 
307394, 0, 921, 383.712000, 363.279700, 363.062400, 0.000000, 94.68, 99.94, 
307454, 0, 1272, 507.610800, 491.465500, 491.277900, 0.000000, 96.82, 99.96, 
307514, 0, 412, 215.268200, 200.758380, 200.699730, 0.000000, 93.26, 99.97, 
307539, 0, 134, 79.335000, 75.886400, 75.814400, 0.000000, 95.65, 99.91, 
307569, 0, 785, 349.938000, 336.497800, 336.234600, 0.000000, 96.16, 99.92, 
307601, 0, 651, 319.947811, 307.416336, 306.712258, 0.000000, 96.08, 99.77, 
307619, 128, 0, 71.408500, 69.132500, 68.905100, 68.905100, 96.81, 99.67, 100.00
307656, 1163, 0, 461.168691, 444.987963, 443.733210, 443.733210, 96.49, 99.72, 100.00
307710, 140, 0, 85.077750, 79.418459, 79.100770, 79.100770, 93.35, 99.60, 100.00
307716, 414, 0, 230.318500, 220.683580, 220.042650, 220.042650, 95.82, 99.71, 100.00
307732, 1475, 0, 568.257790, 544.371010, 543.747340, 543.747340, 95.80, 99.89, 100.00
307861, 665, 0, 314.283020, 297.710410, 297.506030, 297.506030, 94.73, 99.93, 100.00
307935, 1012, 0, 436.342000, 415.127000, 415.039800, 415.039800, 95.14, 99.98, 100.00
308047, 1322, 0, 503.199000, 483.928000, 483.768000, 483.768000, 96.17, 99.97, 100.00
308084, 835, 0, 368.747020, 354.542820, 354.199620, 354.199620, 96.15, 99.90, 100.00
Total, 21736, 52490, 26072.600000, 24822.200000, 24799.900000, 5193.490000, 95.20, 99.91, 477.52
