Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
297730, 416, 0, 3.865782, 3.357376, 3.357087, 3.357087, 86.85, 99.99, 100.00
298595, 38, 0, 0.340554, 0.291320, 0.291281, 0.291281, 85.54, 99.99, 100.00
298609, 267, 0, 2.210287, 1.945931, 1.945918, 1.945918, 88.04, 100.00, 100.00
298633, 640, 0, 6.294694, 5.898674, 5.898674, 5.898674, 93.71, 100.00, 100.00
298687, 452, 0, 21.454290, 20.561649, 20.560749, 20.560749, 95.84, 100.00, 100.00
298690, 25, 0, 1.473570, 1.397020, 1.397020, 1.397020, 94.81, 100.00, 100.00
298771, 153, 0, 8.499230, 8.001180, 8.000890, 8.000890, 94.14, 100.00, 100.00
298773, 150, 0, 8.782230, 7.757190, 7.757040, 7.757040, 88.33, 100.00, 100.00
298862, 474, 0, 25.326646, 23.625335, 23.625135, 23.625135, 93.28, 100.00, 100.00
298967, 560, 0, 55.433900, 53.390200, 53.387100, 53.387100, 96.31, 99.99, 100.00
299055, 471, 0, 45.476512, 44.342463, 44.341563, 44.341563, 97.51, 100.00, 100.00
299144, 362, 0, 30.521200, 29.741500, 29.741000, 29.741000, 97.45, 100.00, 100.00
299147, 248, 0, 23.880659, 23.198754, 23.198154, 23.198154, 97.14, 100.00, 100.00
299184, 696, 0, 94.568754, 91.231877, 91.226617, 91.226617, 96.47, 99.99, 100.00
299243, 55, 0, 6.058300, 5.875490, 5.875490, 5.875490, 96.98, 100.00, 100.00
299584, 1973, 0, 227.237396, 220.754009, 220.742409, 220.742409, 97.15, 99.99, 100.00
300279, 58, 0, 5.895611, 5.225814, 5.225264, 5.225264, 88.64, 99.99, 100.00
300345, 29, 0, 5.330255, 4.806073, 4.805673, 4.805673, 90.17, 99.99, 100.00
300415, 447, 0, 93.583942, 88.535152, 88.525791, 88.525791, 94.61, 99.99, 100.00
300418, 27, 0, 6.387901, 5.496335, 5.496335, 5.496335, 86.04, 100.00, 100.00
300487, 494, 0, 124.270535, 119.644052, 119.630381, 119.630381, 96.28, 99.99, 100.00
300540, 696, 0, 183.876636, 174.786099, 174.751741, 174.751741, 95.06, 99.98, 100.00
300571, 482, 0, 151.467485, 140.767717, 140.645943, 140.645943, 92.94, 99.91, 100.00
300600, 158, 0, 56.106400, 48.356140, 48.064920, 48.064920, 86.19, 99.40, 100.00
300655, 671, 0, 238.948510, 228.058300, 228.040140, 228.040140, 95.44, 99.99, 100.00
300687, 1069, 0, 338.714486, 321.766868, 321.726231, 321.726231, 95.00, 99.99, 100.00
300784, 22, 0, 7.635162, 7.123285, 7.123225, 7.123225, 93.30, 100.00, 100.00
300800, 801, 0, 289.670616, 273.220152, 273.204864, 273.204864, 94.32, 99.99, 100.00
300863, 1043, 0, 344.383311, 325.496447, 325.486788, 325.486788, 94.52, 100.00, 100.00
300908, 646, 0, 228.246660, 211.974980, 211.961830, 211.961830, 92.87, 99.99, 100.00
301912, 49, 0, 6.685500, 6.245710, 6.245620, 6.245620, 93.42, 100.00, 100.00
301918, 165, 0, 19.916700, 19.338800, 19.338700, 19.338700, 97.10, 100.00, 100.00
301932, 1158, 0, 370.773857, 352.168996, 352.133151, 352.133151, 94.98, 99.99, 100.00
301973, 1640, 0, 482.356400, 461.979046, 461.839271, 461.839271, 95.78, 99.97, 100.00
302053, 1100, 0, 398.814902, 376.622709, 376.368970, 376.368970, 94.44, 99.93, 100.00
302137, 529, 0, 206.129650, 196.719220, 196.711180, 196.711180, 95.43, 100.00, 100.00
302265, 273, 0, 109.652381, 101.622707, 101.618607, 101.618607, 92.68, 100.00, 100.00
302269, 175, 0, 58.598820, 56.258260, 56.257300, 56.257300, 96.01, 100.00, 100.00
302300, 1470, 0, 402.589255, 385.534147, 385.524447, 385.524447, 95.76, 100.00, 100.00
302347, 534, 0, 206.433797, 194.710892, 194.704642, 194.704642, 94.32, 100.00, 100.00
302380, 250, 0, 110.124030, 104.365560, 104.314980, 104.314980, 94.77, 99.95, 100.00
302391, 303, 0, 132.429490, 126.296730, 126.254960, 126.254960, 95.37, 99.97, 100.00
302393, 1745, 0, 525.952342, 503.063139, 502.908095, 502.908095, 95.65, 99.97, 100.00
302737, 190, 0, 83.745898, 79.364806, 79.315838, 79.315838, 94.77, 99.94, 100.00
302831, 70, 0, 15.987760, 15.802190, 15.796940, 15.796940, 98.84, 99.97, 100.00
302872, 2283, 0, 673.806977, 641.423821, 641.145193, 641.145193, 95.19, 99.96, 100.00
302919, 154, 0, 66.845820, 61.493740, 61.486930, 61.486930, 91.99, 99.99, 100.00
302925, 355, 0, 133.195001, 127.524734, 127.474365, 127.474365, 95.74, 99.96, 100.00
302956, 920, 0, 353.816397, 334.027010, 333.694310, 333.694310, 94.41, 99.90, 100.00
303007, 34, 0, 17.514570, 15.620990, 15.609210, 15.609210, 89.19, 99.92, 100.00
303079, 231, 0, 112.173378, 101.083889, 101.040125, 101.040125, 90.11, 99.96, 100.00
303201, 215, 0, 112.568750, 91.513080, 91.454860, 91.454860, 81.30, 99.94, 100.00
303208, 1535, 0, 559.933643, 531.567155, 531.114576, 531.114576, 94.93, 99.91, 100.00
303264, 79, 0, 37.232100, 30.137810, 30.086470, 30.086470, 80.95, 99.83, 100.00
303266, 707, 0, 289.079127, 269.217829, 269.121857, 269.121857, 93.13, 99.96, 100.00
303291, 401, 0, 178.331010, 168.805830, 168.660660, 168.660660, 94.66, 99.91, 100.00
303304, 1409, 0, 501.130460, 476.217934, 475.796043, 475.796043, 95.03, 99.91, 100.00
303338, 1557, 0, 543.727553, 515.978206, 515.380458, 515.380458, 94.90, 99.88, 100.00
303421, 1374, 0, 512.430139, 481.932045, 481.088894, 481.088894, 94.05, 99.83, 100.00
303499, 1317, 0, 441.977760, 421.373060, 421.167270, 421.167270, 95.34, 99.95, 100.00
303560, 831, 0, 342.635970, 324.770033, 324.621623, 324.621623, 94.79, 99.95, 100.00
303638, 1349, 0, 478.889770, 462.527590, 462.309130, 462.309130, 96.58, 99.95, 100.00
303832, 400, 0, 96.714482, 94.282688, 94.258388, 94.258388, 97.49, 99.97, 100.00
303846, 1536, 0, 515.726656, 490.809191, 490.650889, 490.650889, 95.17, 99.97, 100.00
303892, 1400, 0, 478.607737, 460.200831, 459.882658, 459.882658, 96.15, 99.93, 100.00
303943, 1354, 0, 494.461295, 469.273923, 468.982617, 468.982617, 94.91, 99.94, 100.00
304006, 329, 0, 162.705766, 153.146101, 148.161224, 148.161224, 94.12, 96.75, 100.00
304008, 1288, 0, 494.601304, 473.656406, 473.284917, 473.284917, 95.77, 99.92, 100.00
304128, 1644, 0, 582.437537, 553.585766, 552.976587, 552.976587, 95.05, 99.89, 100.00
304178, 1154, 0, 452.023295, 427.163407, 426.668388, 426.668388, 94.50, 99.88, 100.00
304198, 368, 0, 172.373577, 158.673390, 158.452130, 158.452130, 92.05, 99.86, 100.00
304211, 278, 0, 135.576240, 125.787290, 125.655910, 125.655910, 92.78, 99.90, 100.00
304243, 1024, 0, 376.025597, 358.909985, 358.762375, 358.762375, 95.45, 99.96, 100.00
304308, 53, 0, 29.101900, 28.211400, 28.195200, 28.195200, 96.94, 99.94, 100.00
304337, 1038, 0, 440.030050, 411.972924, 411.779794, 411.779794, 93.62, 99.95, 100.00
304409, 193, 0, 104.647020, 95.863540, 95.800410, 95.800410, 91.61, 99.93, 100.00
304431, 279, 0, 151.121600, 143.731600, 143.658600, 143.658600, 95.11, 99.95, 100.00
304494, 106, 0, 59.313300, 56.694400, 56.644600, 56.644600, 95.58, 99.91, 100.00
305380, 668, 0, 330.374028, 315.873463, 315.676483, 315.676483, 95.61, 99.94, 100.00
305543, 629, 0, 194.857130, 187.237560, 187.194750, 187.194750, 96.09, 99.98, 100.00
305571, 39, 0, 19.673128, 18.248824, 18.241057, 18.241057, 92.76, 99.96, 100.00
305618, 787, 0, 318.843760, 308.371980, 307.293850, 307.293850, 96.72, 99.65, 100.00
305671, 50, 0, 27.021200, 25.801300, 25.797400, 25.797400, 95.49, 99.98, 100.00
305674, 37, 0, 19.586300, 18.555400, 18.551400, 18.551400, 94.74, 99.98, 100.00
305723, 703, 0, 302.208728, 278.009637, 277.600796, 277.600796, 91.99, 99.85, 100.00
305727, 243, 0, 71.128300, 68.528662, 68.516987, 68.516987, 96.35, 99.98, 100.00
305735, 268, 0, 130.828300, 124.447100, 124.399400, 124.399400, 95.12, 99.96, 100.00
305777, 808, 0, 333.067940, 319.789508, 319.647168, 319.647168, 96.01, 99.96, 100.00
305811, 622, 0, 282.564350, 272.762720, 272.643940, 272.643940, 96.53, 99.96, 100.00
305920, 573, 0, 266.937730, 258.277090, 258.153540, 258.153540, 96.76, 99.95, 100.00
306269, 320, 0, 164.408600, 158.242200, 158.128300, 158.128300, 96.25, 99.93, 100.00
306278, 1001, 0, 404.830950, 390.475769, 390.365951, 390.365951, 96.45, 99.97, 100.00
306310, 1088, 0, 401.951200, 391.104800, 390.947300, 390.947300, 97.30, 99.96, 100.00
306384, 539, 0, 203.948590, 197.404260, 197.270430, 197.270430, 96.79, 99.93, 100.00
306419, 162, 0, 93.262409, 90.582018, 90.495755, 90.495755, 97.13, 99.90, 100.00
306442, 52, 0, 32.150619, 30.758299, 30.728672, 30.728672, 95.67, 99.90, 100.00
306448, 212, 0, 111.070750, 104.625230, 104.545620, 104.545620, 94.20, 99.92, 100.00
306451, 762, 0, 342.131000, 330.362320, 330.155610, 330.155610, 96.56, 99.94, 100.00
307126, 186, 0, 28.399700, 27.210400, 27.210000, 27.210000, 95.81, 100.00, 100.00
307195, 464, 0, 227.016000, 217.689000, 217.506000, 217.506000, 95.89, 99.92, 100.00
307259, 765, 0, 321.392000, 309.473000, 309.368000, 309.368000, 96.29, 99.97, 100.00
307306, 386, 0, 197.321000, 189.220000, 189.147000, 189.147000, 95.89, 99.96, 100.00
307354, 154, 0, 87.416900, 83.236100, 83.230900, 83.230900, 95.22, 99.99, 100.00
307358, 910, 0, 398.586300, 386.816600, 386.766500, 386.766500, 97.05, 99.99, 100.00
307394, 921, 0, 383.712000, 363.279700, 363.062400, 363.062400, 94.68, 99.94, 100.00
307454, 1272, 0, 507.610800, 491.465500, 491.277900, 491.277900, 96.82, 99.96, 100.00
307514, 412, 0, 215.268200, 200.758380, 200.699730, 200.699730, 93.26, 99.97, 100.00
307539, 134, 0, 79.335000, 75.886400, 75.814400, 75.814400, 95.65, 99.91, 100.00
307569, 785, 0, 349.938000, 336.497800, 336.234600, 336.234600, 96.16, 99.92, 100.00
307601, 651, 0, 319.947811, 307.416336, 306.712258, 306.712258, 96.08, 99.77, 100.00
307619, 128, 0, 71.408500, 69.132500, 68.905100, 68.905100, 96.81, 99.67, 100.00
307656, 1163, 0, 461.168691, 444.987963, 443.733210, 443.733210, 96.49, 99.72, 100.00
307710, 140, 0, 85.077750, 79.418459, 79.100770, 79.100770, 93.35, 99.60, 100.00
307716, 414, 0, 230.318500, 220.683580, 220.042650, 220.042650, 95.82, 99.71, 100.00
307732, 1475, 0, 568.257790, 544.371010, 543.747340, 543.747340, 95.80, 99.89, 100.00
307861, 665, 0, 314.283020, 297.710410, 297.506030, 297.506030, 94.73, 99.93, 100.00
307935, 1012, 0, 436.342000, 415.127000, 415.039800, 415.039800, 95.14, 99.98, 100.00
308047, 1322, 0, 503.199000, 483.928000, 483.768000, 483.768000, 96.17, 99.97, 100.00
308084, 835, 0, 368.747020, 354.542820, 354.199620, 354.199620, 96.15, 99.90, 100.00
309375, 174, 0, 51.992230, 44.524290, 44.486280, 44.486280, 85.64, 99.91, 100.00
309390, 770, 0, 301.860300, 289.130400, 288.769700, 288.769700, 95.78, 99.88, 100.00
309440, 1185, 0, 471.883257, 444.695888, 443.298133, 443.298133, 94.24, 99.69, 100.00
309516, 867, 0, 390.088620, 368.307910, 367.627080, 367.627080, 94.42, 99.82, 100.00
309640, 977, 0, 403.422000, 385.021000, 384.555000, 384.555000, 95.44, 99.88, 100.00
309674, 818, 0, 365.456310, 346.080780, 343.787230, 343.787230, 94.70, 99.34, 100.00
309759, 914, 0, 388.972768, 362.789223, 358.826302, 358.826302, 93.27, 98.91, 100.00
310015, 4, 0, 2.233240, 2.201830, 2.172680, 2.172680, 98.59, 98.68, 100.00
310247, 46, 0, 27.192433, 25.373820, 24.704902, 24.704902, 93.31, 97.36, 100.00
310249, 1085, 0, 446.859353, 416.439924, 411.584538, 411.584538, 93.19, 98.83, 100.00
310341, 1080, 0, 453.839750, 426.574440, 422.190350, 422.190350, 93.99, 98.97, 100.00
310370, 25, 0, 16.085600, 15.534800, 15.422800, 15.422800, 96.58, 99.28, 100.00
310405, 403, 0, 203.116500, 187.092800, 185.835300, 185.835300, 92.11, 99.33, 100.00
310468, 296, 0, 165.585000, 155.413000, 152.678000, 152.678000, 93.86, 98.24, 100.00
310473, 429, 0, 243.803600, 226.363000, 223.348700, 223.348700, 92.85, 98.67, 100.00
310634, 1491, 0, 574.178030, 542.045850, 541.719680, 541.719680, 94.40, 99.94, 100.00
310691, 769, 0, 356.527000, 326.422000, 326.115000, 326.115000, 91.56, 99.91, 100.00
310738, 958, 0, 426.823800, 396.234700, 395.938900, 395.938900, 92.83, 99.93, 100.00
310809, 969, 0, 403.067400, 382.423100, 382.274300, 382.274300, 94.88, 99.96, 100.00
310863, 184, 0, 122.534000, 115.582000, 115.507000, 115.507000, 94.33, 99.94, 100.00
310872, 368, 0, 200.179000, 184.339300, 184.023700, 184.023700, 92.09, 99.83, 100.00
310969, 468, 0, 184.611620, 177.081340, 177.010500, 177.010500, 95.92, 99.96, 100.00
311071, 468, 0, 246.609000, 231.210000, 230.803700, 230.803700, 93.76, 99.82, 100.00
311170, 1010, 0, 402.597700, 378.287100, 378.076800, 378.076800, 93.96, 99.94, 100.00
311244, 502, 0, 273.455500, 253.150580, 252.984400, 252.984400, 92.57, 99.93, 100.00
311287, 838, 0, 391.889263, 372.227374, 372.071391, 372.071391, 94.98, 99.96, 100.00
311321, 869, 0, 389.129000, 369.660200, 369.609100, 369.609100, 95.00, 99.99, 100.00
311365, 543, 0, 294.157000, 278.190100, 278.106900, 278.106900, 94.57, 99.97, 100.00
311402, 723, 0, 355.980770, 334.746640, 334.674130, 334.674130, 94.04, 99.98, 100.00
311473, 236, 0, 108.147000, 103.904000, 103.901000, 103.901000, 96.08, 100.00, 100.00
311481, 750, 0, 363.658800, 345.111000, 345.073600, 345.073600, 94.90, 99.99, 100.00
Total, 94445, 0, 35098.800000, 33308.400000, 33257.200000, 33257.200000, 94.90, 99.85, 100.00
